x-axis,1,2
second,Volt,Volt
+5.9040000E-03,,
+5.9045000E-03,+1.1396984803E+00,+3.2460803577E+00
+5.9050000E-03,+1.1396984803E+00,+3.1958291020E+00
+5.9055000E-03,+1.1396984803E+00,+3.1870351322E+00
+5.9060000E-03,+1.1396984803E+00,+3.1983416647E+00
+5.9065000E-03,+1.1396984803E+00,+3.2058793531E+00
+5.9070000E-03,+1.1396984803E+00,+3.1870351322E+00
+5.9075000E-03,+1.1396984803E+00,+3.2247235740E+00
+5.9080000E-03,+1.1396984803E+00,+3.1581406601E+00
+5.9085000E-03,+1.1396984803E+00,+3.1870351322E+00
+5.9090000E-03,+1.1396984803E+00,+3.1870351322E+00
+5.9095000E-03,+1.1396984803E+00,+3.1882914136E+00
+5.9100000E-03,+1.1357411939E+00,+3.2272361368E+00
+5.9105000E-03,+1.1331030029E+00,+1.5614070089E+00
+5.9110000E-03,+1.1396984803E+00,+28.7437087E-03
+5.9115000E-03,+1.1396984803E+00,+11.1557692E-03
+5.9120000E-03,+1.1396984803E+00,+11.1557692E-03
+5.9125000E-03,+1.1396984803E+00,+11.1557692E-03
+5.9130000E-03,+1.1396984803E+00,+42.5628041E-03
+5.9135000E-03,+1.1396984803E+00,+50.1004924E-03
+5.9140000E-03,+1.1396984803E+00,+22.4623018E-03
+5.9145000E-03,+1.1322236060E+00,+29.9999901E-03
+5.9150000E-03,+1.1366205908E+00,+11.1557692E-03
+5.9155000E-03,+1.1396984803E+00,+11.1557692E-03
+5.9160000E-03,+1.1396984803E+00,+11.1557692E-03
+5.9165000E-03,+1.1322236060E+00,+32.5125529E-03
+5.9170000E-03,+1.1256281286E+00,+19.9497390E-03
+5.9175000E-03,+1.1260678271E+00,+51.3567738E-03
+5.9180000E-03,+1.1396984803E+00,+51.3567738E-03
+5.9185000E-03,+1.1396984803E+00,+29.9999901E-03
+5.9190000E-03,+1.1396984803E+00,+42.5628041E-03
+5.9195000E-03,+1.1396984803E+00,+51.3567738E-03
+5.9200000E-03,+1.1357411939E+00,+40.0502413E-03
+5.9205000E-03,+1.1331030029E+00,+11.1557692E-03
+5.9210000E-03,+1.1836683290E+00,+2.5551255911E+00
+5.9215000E-03,+1.1260678271E+00,+3.2272361368E+00
+5.9220000E-03,+1.1396984803E+00,+3.2159296043E+00
+5.9225000E-03,+1.1396984803E+00,+3.2083919159E+00
+5.9230000E-03,+1.1396984803E+00,+3.1958291020E+00
+5.9235000E-03,+1.1392587818E+00,+3.1882914136E+00
+5.9240000E-03,+1.1295854150E+00,+3.2272361368E+00
